timestamp_iso,epoch,label,from_id,portnum,rx_rssi,rx_snr,hop_limit,lat,lon,text
2026-06-04 14:10:12,1780575012.774,NLos,!0fd8af68,TEXT_MESSAGE_APP,-126,-8.75,6,,,test43
2026-06-04 14:10:19,1780575019.105,NLos,!0fd8bec4,TELEMETRY_APP,,,6,,,
2026-06-04 14:11:19,1780575079.149,NLos,!0fd8bec4,TELEMETRY_APP,,,6,,,
2026-06-04 14:12:19,1780575139.194,NLos,!0fd8bec4,TELEMETRY_APP,,,6,,,
2026-06-04 14:13:19,1780575199.239,NLos,!0fd8bec4,TELEMETRY_APP,,,6,,,
2026-06-04 14:14:19,1780575259.283,NLos,!0fd8bec4,TELEMETRY_APP,,,6,,,
2026-06-04 14:15:19,1780575319.361,NLos,!0fd8bec4,TELEMETRY_APP,,,6,,,
2026-06-04 14:15:19,1780575319.396,NLos,!0fd8bec4,TELEMETRY_APP,,,6,,,
2026-06-04 14:16:19,1780575379.407,NLos,!0fd8bec4,TELEMETRY_APP,,,6,,,
2026-06-04 14:17:19,1780575439.439,NLos,!0fd8bec4,TELEMETRY_APP,,,6,,,
2026-06-04 14:18:19,1780575499.493,NLos,!0fd8bec4,TELEMETRY_APP,,,6,,,
2026-06-04 14:19:19,1780575559.541,NLos,!0fd8bec4,TELEMETRY_APP,,,6,,,
2026-06-04 14:20:19,1780575619.585,NLos,!0fd8bec4,TELEMETRY_APP,,,6,,,
2026-06-04 14:20:59,1780575659.672,NLos,!0fd8af68,POSITION_APP,-114,1.75,6,48.5731721,13.3832596,
2026-06-04 14:21:19,1780575679.63,NLos,!0fd8bec4,TELEMETRY_APP,,,6,,,
2026-06-04 14:22:19,1780575739.674,NLos,!0fd8bec4,TELEMETRY_APP,,,6,,,
2026-06-04 14:22:52,1780575772.727,NLos,!0fd8af68,POSITION_APP,-81,9.5,6,48.5746866,13.3801845,
2026-06-04 14:23:19,1780575799.719,NLos,!0fd8bec4,TELEMETRY_APP,,,6,,,
2026-06-04 14:23:36,1780575816.949,NLos,!0fd8af68,NODEINFO_APP,-74,10.5,6,,,
2026-06-04 14:24:19,1780575859.763,NLos,!0fd8bec4,TELEMETRY_APP,,,6,,,
